Question,Answer,Category,Crop,QueryType
asking about bacterial wilt in bottle gourd,told him spray streptomycin or crystocyclin 1g/5 lit of water,General,General,General
asking basal dose of fertiliser for paddy,"recommended him to apply 9 kg urea, 17 kg ssp and 5 kg mop per bigha at the time of final land preparation",General,General,General
control of stem borer in rice seedlings,spray chloropyriphos @ 2 ml per liter of water,General,General,General
asking about time of sowing of jalkunwari and jalashree,recommended time is for sowing is june and transplanting is july,General,General,General
asking about the control measure for bacterial wilt in cowpea.,"advised to spray at the root zone cristocycline @ 1 gram/5 lit water,2-3 sprays at 5-6 days interval.",General,General,General
asking about fertilizer dose,suggested to apply urea-17 kg ssp- 20 kg mop- 8 kg per bigha,General,General,General
query regarding bean,recommended that application of rogor @2ml/lit of water,General,General,General
problem of fruit drop in coconut plant.,advised him to apply borax 50 gm with 3 kg dry cowdung in a ring method.,General,General,General
want to know fertilizer requirement in sali paddy as basal dose,"apply urea 9 kg , ssp 17 kg , mop 9 kg and compost 4 quintal per bigha as basal dose.",General,General,General
query regarding quill farming,"quill meat is free from cholesterol .hence the meat can be consumed by  human too, those are suffering from chd / heart disease. the ingredient( minly protein --i.e albumin ) present in quill egg is almost equell which are present in duck/ hen egg. though the egg are smaller in size in comperision to  duck/ hen egg . the feed & space requirement are also less & management &  easier . for details tcontact at c.v.sc in aau.",General,General,General
asking about control of leaf curl of chillie,"recommended to spray rogor or ustad @ 2ml/l water 3 days at 3 days interval
also spray planofix @1ml/4.5l water at 10 days interval",General,General,General
query regarding  a cow showing the signs of,norflox e/ e drop--4 drop twice daily after 3 days apply--- eye gel as rejuvinator . inject trineurosol h -3 ml-i/ m ly for three days( every on alternate day in either side ) // bivinal forte 30 ml as directed,General,General,General
query regarding infection in eye of a dog ( 2 year old ),genticyn e/ edrop t.i.d / ranicol oint to be apply  as directed,General,General,General
asking about the control measure of control-measureof crd in local birds,adviced him to mixed 10 ml of ambiplex in 20 lits of water and give it daily for 5-7 days,General,General,General
asking about the weedicide,told him to not to used weedicide in standing crop,General,General,General
asking about the vegetables in the season,"ridgegourd , bottlegourd , spongegourd , bhindi",General,General,General
query regarding to control shoot borer in gourds,suggested him to spray coragen @ 10ml/40 lit of water,General,General,General
query regarding suspected fmd,"wash with potash solution , spray dressol over the area .inject i/ mly  intamox 4 gm  i/ ly anistamin 10 ml as directed",General,General,General
asking about control measure of caterpillar,suggested to spray rogopr @ 2ml per lit of water,General,General,General
asking about control of borer in ash gourd,told him spray malathion or profex super @ 2ml/lit of water,General,General,General
query regarding to control leaf spot in zinger,suggested him to spray indofil m-45 @ 2gm/lit of water,General,General,General
asking about name of the vitamin for fish,recommended to apply agrimin forte vitamin,General,General,General
asking about control of gummosis,recommended to spray blitox 50 @2ml/l water,General,General,General
asking about control of mealy big infestation,recomemndd to spray rogor @ 2ml/l water .spray 3 doses at 3 days interval,General,General,General
asking about bee keeping,explained in details & advised him to contact with nearest kvk.,General,General,General
query regarding to control fruit fly in gourds,suggested him to spray malathion 50ec @ 2ml + molasses @ 10gm/lit of water,General,General,General
asking about control measure of mealy bug,suggested to spray rogor @ 2ml per lit of water,General,General,General
asking about the fertilizer dose for paddy/bigha.,"advised to apply urea 12 kg/bigha in 3 split doses,ssp 17 kg/bigha,mop 12 kg in 2 split doses(6 kg as basal,top dress 6 kg after 56 days),zinc sulphate 2 kg/bigha,dry cowdung 3-4 cart load,",General,General,General
query regarding infection,enrocin / restrictl 1 gm / lits of water. liver tonic as directed,General,General,General
asking about the control of fertilizer doses in rice,"told him to apply 4 kg urea , 6kg dap , 6 kg mop / bigha",General,General,General
query regarding some  infection of some local chicken,enrocin 1 gm / lits of water  // codrinal as directed,General,General,General
asking about the control of root rot in brinjal,told him to spray saaf @ 1gm / l of water,General,General,General
asking about the control measure for mosaic in ridge gourd.,"advised to spray rogor 30 ec or tafgor 30 ec @ 2 ml/lit water,2-3 sprays at 5-6 days interval.",General,General,General
asking about fertilizer dose,suggested to apply urea- 17 kg ssp- 22 kg mop- 8 kg per bigha,General,General,General
asking about the control of insects in pointed gourd,told him to spray malathion 50 ec @ 2ml / l of water,General,General,General
asking for nursery bed treatment,recommended him to treat the nursery bed with captaf,General,General,General
asking about lime and fertilizer does,"application of lime @10kg/bigha/month,dry cow dung @30-40kg/bigha/month,urea@1kg/bigha/month,ssp@2kg/bigha/month,application of agrimin forte vitamin",General,General,General
query regarding honey bee,suggested him to consult arun mitra(9954219252),General,General,General
query regarding to control red ants in lemon,suggested him to spray tricel-20ec @ 2ml/lit of water,General,General,General
asking about the nutrient management in ridgegourd,told him to spray tracel 2 @ 2gm / l of  water,General,General,General
query regarding a cow showing the inflammation of neck & jaw & belly   ( suspected to be tympanitis ),afanil -1/2 bottle orally bid / floraboost bolus -3 boli orally daily / inject catlogenta 30 ml & dexona as directed / use anthalmintic & bovoplex cc injection  after lesion is over,General,General,General
query regarding a pond covering  1 bigha of land,recommanded him to spray quick lime water in the pond,General,General,General
asking about post emergence herbicide in rice,"told him post emergence herbicide -bentazon, 2,4-d",General,General,General
query regarding inappitance of a cow,bolus  floraboost 20 nos   anigest 30 gm,General,General,General
asking about pond management,"recommended him to apply lime@ 10 kg/bigha,urea 5kg,ssp 8kg/bigha,cowdung 30kg/bigha, feeding ricebran and musturd oil cake@ 1:1 daily basis",General,General,General
asking about the time and process of cuttings in chrysanthemum.,"advised to take terminal stem with 2 leaf 5-7 cm long.give a slenting cut below,apply rootex p hormone.time of planting from july-sept.",General,General,General
asking about top dressing of urea and potash in rice,told him apply 4kg urea and 3kg potash 25 days after transplanting/bigha,General,General,General
asking about control of panama wilt,"recomemnded to spray bavistin or saaf @2gm/l water for 3 times at 3 days interval in banana
for paddy spray tricel 20 ec @2ml/l water for 3 days at 3 days interval",General,General,General
asking about fertilizer dose,suggested to apply urea-15 kg ssp- 18 kg mop-8 kg per bigha,General,General,General
asking about the nutreint management in banana,told him to spray vipul @ 2ml / l of water,General,General,General
asking about control of blb,"recommended to spray streptocycline @ 2ml/10 litre water 
prepare a cow dung slurry and spread over the field",General,General,General
asking about the way to initiate flowering and fruiting in bottle gourd.,"advised to spray planofix(anaa)@ 3 ml/15-16 lit water,2 sprays at 12 days interval in bottle gourd for flowering and fruiting.for coconut-apply urea 750 gram,ssp 1250 gram,mop 900 gram,borax 50 gram/plant,coconut special of multiplex @ 200 gram/plant in ring method 1.5 mt away from the base mix with dry cowdung.",General,General,General
asking for weed management in paddy 30 days after tranplanting,advice him to remove the weeds manually,General,General,General
control of leaf curl in chilli,spray malathion 50 ec @ 2 ml per liter of water three times at seven days interval.,General,General,General
asking about blb in rice,told him spray streptomycin or crystocyclin @ 1g/5lit of water,General,General,General
asking about fruit fly in ridge gourd,told him spray malathion 2ml and molasses 10g/lit,General,General,General
asking about control of stemborer,recommended to spray tricel 20 ec or classic 20ec@2ml/l water,General,General,General
asking about the control of leaf folder in rice,told him to spray classic 20 ec @ 2ml / l of water,General,General,General
asking about control of black rot in chrysanthemum,told him spray saaf or contaf @ 2ml/lit of water,General,General,General
asking about the fertilizer dose for coconut.,"advised to apply urea 750 gram,ssp 1250 gram,mop 900 gram,borax 50 gram/plant,coconut special of multiplex @ 200 gram/plant mix with dry cowdung in ring method 1.5 mt away.",General,General,General
asking about top dressing of urea,suggested to apply urea-7 kg per bigha as a top dress,General,General,General
asking about control of anthracnose and varieties of king chilli,"recommended to spray contaf @2gm/l water against anthracnose
cultivate the available local varieties. avoid water logging in the field .",General,General,General
asking about fertilizer dose in bottle gourd,"told him 16kg urea, 46kg ssp and 23kg mop/bigha",General,General,General
query regarding to control fungal wilt in gerbera,suggested him to spray amister @ 2ml/lit or saaf @ 2gm/lit of water,General,General,General
asking about the nutrient management in orange,told him to spray tracel 2 @ 2gm / l of water,General,General,General
query regarding growth promoter,growth promoter ( biospark -v ) can be given 10-15 ml / 100 birds in 9-12 / 19-22 days.  it can be adjusted according to the veterinarian wish,General,General,General
asking about control measure of bacterial wilt in chilli,"suggested to spray agrimycine @ 1 g per 10 lit of water
seed treatment= treat the seeds with captaf or bavistin @ 2 g per 100 g seeds",General,General,General
query regarding to control blb and borer in rice,suggested him to spray cristocycline @ 10gm/70 lit of water an spray tricel/satisfy @ 2ml/lit of water to control insects,General,General,General
query regarding bacillari white diarrhoea,colis -v 1gm / 5lits of water duaprim 5 gm / 100 birds aafor 3-4 days,General,General,General
query regarding to control weed,"suggested him to spray 2,4 -d @ 2ml/lit of water",General,General,General
asking about the variety of knol khol,"told him synzenta , mahako , east west company",General,General,General
asking about the remedy against overdose application of urea in mango.,advised to apply plain water regularly to minimize the overdose of urea.,General,General,General
asking about the control of bacterial blight in brinjal,told him to spray cristocycline @ 1gm / 10 l of water,General,General,General
asking about seed treatment and fertilizer dose,"recommended to treat the seed with captan or captaf @2.5gm/kg of seed.
fertilizer dose : urea@34kg, ssp@50kg and mop@13kg per bigha",General,General,General
"query regarding a pond -- covering 3 kathas of land , water fro surface to bottom i.e --deaftness is approx 4 feet.",recommanded to apply quick lime water @ 7 kg / bigha of land . apply potash as directed . stirring the water with abamboo stick .,General,General,General
asking about the way to improve crop growth in ginger.,"advised to spray npk @ 10 gram/lit water mix with tata tracel @ 2 gram/lit water,2 sprays at 7 days interval.",General,General,General
asking about anthracnose in papaya,told him spray rogor 2ml/lit of water and blitox @ 2ml/lit of water,General,General,General
asking about planting time,told him sept - oct,General,General,General
asking about govertment scheme,told him contact to kvk or district agriculture office,General,General,General
asking about the seedling of cabbages,told him to apply cowdung in the bed,General,General,General
asking about fungal infection in chrysanthemum,told him spray  saaf @ 1g/lit of water,General,General,General
asking about plant protection measures in tea,recommended to contact nearest toklai tea research institute or assam agricultural university,General,General,General
asking about government schemes,suggest him to visit and consult with district agriculture office,General,General,General
asking about time and seed rate of onion,"told him time of sowing- sept- oct
1000 kg/ha is required. medium sized bulbs are to be chosen for planting. seeds @ 8kg/ha",General,General,General
query regarding edd of a cow inseminated on 27 feb / 2018,expected date of delivery may be 07 dec /2018 ( may very 01/12/18---10/12/18 dec 2018 ) ostocalcium & vimeral  as directed,General,General,General
asking about weed management in rice,told him to do hand weeding since the crop is at panicle initiation stage,General,General,General
asking about stem rot of papaya,recommend him to apply contaf @ 1.5 ml/ ltr water and spray in the infected portion of the tree. spray 3 times with 7 days interval.,General,General,General
asking about the control measure for hispa in rice.,"advised to spray tricel 20 ec(chlorpyriphos)@ 2 ml/lit water or king kobra(chlorpyriphos 50% & cypermethrin 5%) @ 1.5 ml/lit water,3 sprays at 5 days interval.",General,General,General
asking about feeding behavior of carps,"told him about different feeding behavior of carps such as 
1) rohu: column feeder (omnivore)
2) catla:  surface feeder (herbivore)
3) mrigal: bottom feeder (detritivore)",General,General,General
asking about nutrient managment in bitter gourd,told him spray tracel 2 @ 5g/lit of water in a week,General,General,General
asking about nutrient in brinjal,told him spray npk all  10g and tracel2 2g/lit of water,General,General,General
asking about control of weed in rice,told him to do hand weeding,General,General,General
query regarding  a   cow,piperazine citrate 30 ml orally in empty stomach . inject bivinal forte 30 ml as directed,General,General,General
asking about the  nutrient management in brinjal,told him to spray vipul @ 2ml / l of water,General,General,General
asking about mortality of carp fingerlings,told him to apply lime @ 20-30 kg/bigha/yr and apply salt @ 15 kg/bigha and,General,General,General
asking about damping off in cabbage,suggested to apply blitox 50 @ 2 ml per litre of water,General,General,General
asking about the control of insects in cauliflower,told him to spray malathion 50 ec @ 2ml  / l of water,General,General,General
asking about insect control in cabbage,told him spray rogor or malathion @ 2ml/lit of water,General,General,General
query regarding  some broiler,enrocin 1 gm / lits of water/ / colis v 5 gm / 100 birds // tab metron & ors as  directed //,General,General,General
query regarding a duck,install  norflosx e/ e drop twice daily,General,General,General
asling about control measure of blight of tomato,advised him to spray sheathmar @ 2 ml/litre of water and apply twice at 5 days interval.,General,General,General
asking about control measure of phytophthora leaf and root rot of betelvine,told him to apply  bordeaux mixture thrice at 15 days interval in  a ring across the tree. dissolve 100 gram copper sulphate in 5 litres of water in a plastic bucket and add 100 gram lime in 5 litres of water in another bucket. then mix both the component to give a final volume of 10 litres.,General,General,General
asking about button shedding in coconut.,"recommended him to apply 40 g borax with 750 g urea, 1.5 kg ssp and 1.5 kg mop in 2 split dose per plant per year.",General,General,General
asking about varieties of sugarcane,"recommend him to plant varieties like darang, kapili and for seeds visit sugarcane research institute in buralikson",General,General,General
asking about the control measure for bud rot in coconut.,"advised to apply bordueax mixture on the bud(kuh)(add 100 gm copper sulphate in 5 lit water,add 100 gram lime in 5 lit water mix both in 3rd container for 10 lit solution),3-4 times at 7 days interval.",General,General,General
asking about pest infestation on cabbage,recommended to spray malathion 50 ec @2ml/l water for 3 doses at 3 days interval,General,General,General
query regarding broiler  farming,enrocin 1 gm / lits of water / liver tonic & b-complex as directed,General,General,General
asking about seed treatment of cauliflower seeds,treat the dry seeds with captaf or thiram @ 3g/kg seeds,General,General,General
asking about the bacterial wilt in brinjal.,advised to spray blue copper or blitox 50 @ 2 gram/lit water and alternately drench the soil with cristocycline or streptocycline @ 1 gram/5 lit water.,General,General,General
asking about vocational training on fisheries and also asked about ras (recirculating aquaculture system),recommended him to contact the kvk of his district and to contact fisheries dept. also told general information about ras system.,General,General,General
query   regarding goatary,black bangel / beetal / etc are the breed,General,General,General
asking about whther he van apply herbicide in standing paddy of 45 days after transplanting.,advised to do hand weeding or apply paddy weedre to remove weeds.apply pre emergent herbice like sathi @ 2 kg/bigha mix with soil or butachlor.,General,General,General
"asking about the cultivation process,time of planting,fertilizer dose and seed rate for onion.","advised to grow variety nasik red,pusa red and punjab red round.sowing time:mid sept-oct,seed rate-3.3 kg/bigha direct sowing.1.5 kg/bigha for transplanting.fertilizer dose:urea 17 kg/bigha,ssp 41 kg/bigha,mop 11 kg/bigha,dry 3-4 cart load.",General,General,General
asking about control of stem borer in rice,told him spray tricel 20ec @ 2ml/lit of water,General,General,General
asking about control of damping off of tomato.,recommended him to apply blitox @ 2ml per lit of water.,General,General,General
asking about the control of brown plant hopper in rice,told him to spray profex super @ 2ml / l of water,General,General,General
asking about control of bacterial leaf blight in rice,"recommended to spray cristocycline @ 1 gm per 5 litre of water
top dress urea @ 3 kg per bigha
paddy special @ 2 gram per litre of water",General,General,General
asking about gummosis blight in papaya,told him apply bordeaux mixture,General,General,General
asking about control measure of fruit drop in coconut,told him to apply 40 gram borax and 200 gram coconut special in a ring around the tree,General,General,General
asking about root rot in tomato,told him spray contaf or roshomplus @ 2ml/lit of water,General,General,General
query regarding decrease appetite of a pig,ruchamax 30gm /floratone bolus 10 nos -- to be given as directed,General,General,General
asking about training in bee keeping,recommended him to go to the district agricultural office,General,General,General
asking about soil drenching for cauliflower cultivation.,recommended him to apply formaline solution @ 4ml in 1 lit of water and keep for 24 hours. then apply water.,General,General,General
asking about the control measure for stem rot in brinjal.,"advised to spray roshan plus(hexaconazole) or contaf(hexaconazole) @ 1.5 ml/lit water ,2-3 sprays at 7 days interval.",General,General,General
asking about control measure of damping off in cabbage,told him to soil drenching with blitox 50 @ 1 gram/litre of water,General,General,General
asking about  the control of leaf spot disease in cabbage,suggested him to spray  indofil m 45 @ 2gm/liter of water,General,General,General
asking about fertilizer dose for pumpkin.,"recommended to apply 45g urea, 250 g ssp and 70 g mop and 20 g urea after 30 days of planting.",General,General,General
asking about the nutrient management in bottlegourd,told him to spray tracel2 @ 2gm / l of water,General,General,General
asking about fertilizer dose for cauliflower.,"recommended him to apply 24 kg urea in 2 split dose, 50 kg ssp and 10 kg mop.",General,General,General
asking about planting material of pointed gourd and fertilizer dose of pointed gourd and capsicum.,"recommended him to plant leaf bud cutting or stem cutting.
fertilizer dose for pointed gourd-  20 kg urea in 2 split doses,  30 kg ssp and 8 kg mop per bigha of land.
fertilizer dose for capsicum- 16 kg urea, 12 kg ssp and 13 kg mop per bigha of land.",General,General,General
asking about nutrient management in brinjal,"told him to apply 14 kg urea, 41 kg ssp and 11 kg mop. half of urea, full doses of ssp and mop should be applied as basal and the remaining half of urea to be top dressed.",General,General,General
asking about cultural practices of french bean,"sowing time - october -november
seed rate: 6 kg per
spacing: 45 cm x 30 cm
fertilizer- 12 kg urea ssp- 15 kg mop- 9 kg per bigha",General,General,General
asking about nutrient management in brinjal,"told him to apply 14 kg urea, 41 kg ssp and 11 kg mop. half of urea and full doses of ssp and mop should be applied as basal and the remaining half of urea should be top dressed .",General,General,General
asking about the fertilizer doses in mustard,"suggested him to apply urea-19kg, ssp-45kg, mop-11kg, borax -2kg per bigha",General,General,General
asking about cultural practices of onion,"suggested to follow the following instruction
seed rate: 2.6 kg per bigha
spacing: 20 cm x 10 cm
variety: pusa white",General,General,General
query regarding   some chicken,enrocin 1 gm / lits of water  / suldin solutin,General,General,General
query regarding some chicken,enrocin 1 gm / lits of water / suldin solution as directed,General,General,General
asking about the control of gandhi bug in paddy,suggested him to spray malathion 50 ec @ 3kg/ bigha,General,General,General
asking about the rate of top dressing of urea at panicle initiation stage,recommended to topdress urea @ 3 kg per bigha of land,General,General,General
asking about the control of leaf eating caterpillar in cabbage,suggested him to spray ustad @ 2ml/liter of water,General,General,General
query regaring  suspected mastitis,mastilep for topical applica.tion / inject moxel 2 gm  i/ m lyfor 3 days / mammitel for intra mammary infusion  as directed,General,General,General
asking about the control of wilt in brinjal.,"recommended him to apply streptomycin @ 1g per 5 liter of water for bacterial wilt
for fungal wilt-  blitox @ 2g per 1 liter of water.",General,General,General
asking about th control measure of bacterial wilt in brinjal,recommended to spray cristocycline @ 1 gram per 5 litres of water 2 times at an interval of 15 days,General,General,General
asking about the fertilizer doses in coconut,"suggested him to apply urea-1.5kg, ssp-2.5kg, mop-1.7kg, and borax-50gm per plant per year",General,General,General
asking about the nursery management of arecanut,"keep the seedlings in the first nursery  and transplant them to the second nursery when the attain 30 cms high. in the second nursery maintain a spacing of 30 x 30 cm and keep it till they attain 18 months
for fruit drop of coconut apply urea 750 gram, ssp @  1250 gram, mop @ 900 gram, borax @ 40 gram , coconut special @ 100 gram and dried cowdung @ 10 kg per plant
for rat problem apply zinc phosphide along with a meal of rice mixed with dried fish and mustard oil",General,General,General
asking about the micro nutrient use in cabbage,suggested him to spray multiplex all vegetables@ 2ml/liter of water,General,General,General
asking about the fertilizer dose of garlic.,"recommended him to apply 25 kg urea, 62 kg ssp and 12 kg mop per bigha of land.",General,General,General
asking about control measure of leaf curl virus in chilli and mealy bug in papaya,for chilli- rogor @ 2ml/ litre of water and for papaya- malathion @ 2ml /litre of water. spray twice at 5 days interval,General,General,General
asking about the fertilizer doses in coconut,"suggested him to apply urea-1.5kg, ssp-2.5kg, mop-1.7kg  and borax-50gm per plant per year",General,General,General
asking about control  of  aphids,recommended him to apply rogor 2ml/lit of water spray three times @ 3 days interval,General,General,General
asking about seed treatment in onion.,recommended him to apply thiram @ 3g per kg of seed.,General,General,General
asking about address of assam seed certification agency,"jorhat zonal office
jail road, jorhat,
assam-785001
deputy director: prakash bora
contact no: +9194353 50889",General,General,General
asking about control of leaf eaters,advised him to spray malathion 50 ec @ 2ml/lit spray thrice at 3 days interval,General,General,General
asking about the control of cut worms in cabbage,recommended to spray malathion 50 ec @ 1 ml per litre of water 3 times at an interval of 5 days,General,General,General
asking about fertilizer  dose  of potato,"told him to apply  urea 19kg/bigha, ssp 45kg/bigha and 12kg/bigha",General,General,General
query regarding  a lactating cow,ostocalcium & vimeral  can  be given  orally @ 30-40 ml  as maintaince dose,General,General,General
asking about the micro nutrient use in cabbage,suggested him to spray multiplex all vegetables @ 2ml/liter of water,General,General,General
asking about control of leaf eaters in  chrysanthemum,told him to apply malathion 50 ec @2ml/lit spray thrice at 3 days interval,General,General,General
query regarding flower initiation in bottle gourd,recommended to spray mahaphal @ 2ml per litre of water at an interval of 15 days,General,General,General
asking where to soil test,recommended him to go  to assam agricultural university for soil test,General,General,General
asking about the control of late blight in tomato.,recommended him to apply indofil m-45 @ 2ml per liter of water.,General,General,General
asking about government scheme.,advised him to visit any nationalized bank.,General,General,General
asking about control measure of insect attack in marigold,told him to spray malathion @ 2 ml / litre of water thrice at an interval of 4 days,General,General,General
asking about the control of bacterial wilt in cabbage,suggested him to spray steptomycine @ 1gm/ 10liter of water,General,General,General
asking about control of borer in brinjal,told him to apply rocket @ 2ml/lit of water spray twice at 5 days interval,General,General,General
asking about the control of fungal infection i tomato.,recommended him to apply saaf @ 2g per liter of water .,General,General,General
asking for control of weds in cauliflower,recommended him to do hand weeding,General,General,General
asking about the control of insects in toria,recommended to spray profex super or malathion @ 1  ml per litre of water,General,General,General
query regarding a bullock  showing the signs of elongation of hoof,cut the hoof with the help of hoof cutter after application of betadine lotio,General,General,General
query regarding  dyscentary of a bullock,"told him to inject fortious 30 ml & anistamin 10 ml @ 4 ml & 1 ml  respectivelyintra- mascularly for 3 days . tab marcozyl m bolus - 2 bolus orally daily , infuse normal saline 3 bottle ( sos )",General,General,General
asking about control of white fly,recommended to spray rogor @2ml/lit spray thrice at 3 days interval,General,General,General
asking about weedicide in potato,"sencor 70 wp is a selective herbicide which effectively controls weeds in wheat, potato, soybean, tomato and sugarcane. it is a pre-emergent herbicide and can also be applied as early post. it has broad spectrum control of both grasses and broad-leaf weeds.",General,General,General
asking about the control of micro nutrient use in cabbage,suggested him to spray multiplex all vegetables @ 2ml/liter of water,General,General,General
asking about root rot  bottle gourd,advised him to apply contaf @ 2ml/lt,General,General,General
asking about cultural practices of tomato,"seed treatment with captan @ 3 g per kg of seed, soil treatment with formalin @ 1 ml per litre of water, fertilizer- 21 kg urea, 50 kg ssp and 13 kg mop per bigha",General,General,General
query regarding  exfoliation of skin of a goat,wash the body coat with cutirose  as directed / apply topicure on the skin  /inject catlogenta 30 ml anistamin 10 ml as directed,General,General,General
query regarding    diarrhoea of a cow,ors  orally as directed / marcozyl m bolus -2 bolus at a triat / catlogenta 30 ml anistamin 10  ml as directed,General,General,General
query regarding  layer breed,"white leg horn . rhode island red   asiatic breed ( , brahma, cochin , lengshan ) can be rear  as layer breed . to collect the pullet he should discussthe matter with district poultry dealer / hatchery /",General,General,General
query regarding poultry  farming,"capital investment /  cost of ( pullet / building of shed / feed / utensil & appliances / vaccine & medicine/ insurance premium  etc ) distance from road/ water & electricity supply / labour cost/ ,miscellaneous  expenditure",General,General,General
asking about control off damping off of tomato,"recommended him to apply blitox 50 @ 2g/lit of water, spray twice at 5 days interval",General,General,General
asking about the fertilizer doses and nutrient management in coconut,"told him to apply 750 gm urea , 1250 gm ssp , 900gm mop / plant +coconut special @ 200gm / plant by ring method at the distance of 1.5 m from the tree",General,General,General
asking about the fertilizer doses in mustard,"suggested him to apply urea-19kg, ssp-45kg, mop-12kg, borax-2kg per bigha",General,General,General
asking for the control measure against diamond back moth,spray chloropyriphos @ 2 ml per litre of water 3 times at an interval of 3 days,General,General,General
asking about pit size and planting distance of papaya,recommended him that pit size 45cm x 45cm x 45 cm and planting distance 1.8m x1.8 m,General,General,General
asking about the use of trishul biofertilizer.,recommended him to mix trishul biofertilizer @ 3 kg per 100 kg of farmyard manure and to broadcast before sowing or planting.,General,General,General
asking about micro nutrient application in rice.,recommended him to apply paddy special @ 2ml per liter of water,General,General,General
asking about the micro nutrient use in tomato,suggested him to spray all vegetables @ 2ml/liter of water,General,General,General
asking about the control of fungal rot in potato.,recommended him to  apply saaf@ 1g per liter of water.,General,General,General
asking about dose of biosar in potato,recommended him to apply @ 10g/lit of water,General,General,General
asking about the control measure for splitting of knol khol,recommended to irrigate the field timely,General,General,General
asking about control measure of bacterial wilt in tomato,told him to apply streptomycin / cristocyclin @ 1 gram in 5 litre of water,General,General,General
asking about control of leaf eating caterpillar in cabbage,recommended him to apply malathion 50 ec @ 2ml/lit  of water spray 3 time at 3 days interval,General,General,General
asking about npk dose and malathion 50 ec,recommended him to apply npk 0.5g/lit of water and malathion 2ml/lit of water,General,General,General
query regarding control of bacterial wilt in tomato,recommended to apply cristocycline @ 1 gram per 5 litres of water 2 times at an interval of 7 days,General,General,General
asking about control measure of white fly in merigold,"told him to apply malathion 50 ec @ 2 ml per litre of water, twice at 5 days interval
vitamin - tracel @ 2 ml per litre of water, thrice at 15 days interval",General,General,General
asking about seed rate of pea,told him to sow 9kg seed/bigha,General,General,General
asking about control measure of root rot of brinjal,"told him to apply saaf / blitox 50 @ 2 ml per litre of water, thrice at 4 days interval",General,General,General
asking about control measure of little leaf of brinjal,told him to apply rogor / malathion 50 ec @ 2 ml per litre of water,General,General,General
asking about dose of 19 all in cauliflower,recommended dose is 5-6 ml per litre of water,General,General,General
asking about the use of trishul,recommended him to mix trishul with fym @ 3 kg per 100 kg of farm yard manure.,General,General,General
asking about fertilizer dose of capsicum.,"recommended him to apply 34 kg urea,  50 kg ssp and  13 kg mop per bigha of land.",General,General,General
asking about fish lice treatment in pond,"told him to apply potassium prearrangement @ 300gm/bigha or apply cleaner @ 3oml/bigha pond.
 affected fishes can also be treated with bath treatment 2-5% salt solution.",General,General,General
asking about the control of insect attack in knol khol,recommended to spray malathion 25 ec @ 1 ml per litre of water 3 times at an interval of 5 days,General,General,General
asking about nutrient management of potato,recommended  him to apply potato  special @ 2.5g/lit spray twice at 30 days and 60 days,General,General,General
query regarding  constipation  of a calf,milk of magnesia 120 ml - 10-15 ml orally as directed,General,General,General
asking about control measure of cut worm in potato,"told him to apply decis @ 2 ml per litre of water, twice at 4 days interval",General,General,General
asking about cultural practices of bhoot jolokia,"recommended to prepare a nursery bed of wide 1m and heght of 15cm abive the ground and lenght of convenient measurement.
apply malathion 5% dust and sand or top soil well mixture.
sowing time is dec- feb
age of planting should be 25-30 days from planting.
spacing is 45cm x45cm (row to row and plant to plant)
fertilizer dose is 34 kg, ssp@50 kg, and mop @13kg per bigha of land.",General,General,General
asking about the rate of borax application,recommended to spray borax @250 gm per bigha in 80 litre water,General,General,General
asking about the fertilizer doses in coconut,"suggested him to apply urea-750gm, ssp-1250gm, mop-850gm, and borax-25gm per plant",General,General,General
query regarding  banraja  farming,"housing, feed cost, cost of breed , medicine, & vaccine, electricity & water supply , miscellaneouscost etc should be judge prior to establish a farm",General,General,General
asking about dose of borax,recommended him to apply borax @2g/lit of water as foliar spray,General,General,General
asking about the coontrol of damping off in cauliflower,"recommended to spray saaf @ 1 gram per litre water 3 times at an interval of 5 days
spray malathion 25 ec @ 1 ml per litre water 3 times at an interval of 5 days for insect",General,General,General
asking about little leaf of chilli,told him spray rogor @2 ml/lit of water,General,General,General
asking about control of  fungal rot,recommended him to apply  saaf @2ml/lit of water spray thrice at 3 days interval,General,General,General
query regarding  some goat,"inject enrocin 15 ml dexona 10 ml / apply interban -f cream on the affected area . before application of the cream area should be thoroughly cleaned with potash solution , segregrate the affected  goats from the rest of the flock",General,General,General
asking about control of blight in cabbage,told him to apply saaf @ 2ml/lit of water spray 3 time at 3 days interval,General,General,General
asking about dose of npk,recommended him to apply 5g/plant of water,General,General,General
query regarding debility of some puppy[ local breed ] ( 1 1/2 month old) showing the signs of leg weakness & fullness of abdomen,diarest m-8 ml orally daily in empty stomach/ inject neurobion 1 ml -0.5 ml every on alternate day  .,General,General,General
asking about the control of damping off of knol khol,recommended to spray saaf or any fungicide with composition mancozeb and carbendazim @ 2 gram per litre of water 3 times at an interval of 5 days,General,General,General
asking about control measure of insect attack in french bean,"told him to apply ustad 10 ec @ 1 ml per litre of water, twice at 4 days interval",General,General,General
asking about the control of collar rot in knol khol.,recommended him to apply saaf @ 2g per liter of water.,General,General,General
asking about control control root rot of french bean,recommended him to apply saaf @ 2ml/lit of water spray 3 times at 3 days interval,General,General,General
asking about control measure of leaf blight in potato,"told him to apply indofil m-45 @ 2 ml per litre of water, thrice at 4 days interval",General,General,General
asking about control measure of fusarium wilt in brinjal,"told him to apply saaf @ 2 ml per litre of water, thrice at 3 days interval",General,General,General
